nba_team,average_pts,average_age,average_three_pt_pct,average_tot_reb_pct,average_blk,average_stl,average_blk,average_ast,player_count,average_fg_pct,How Many All-Stars,Farthest Round,Wins?,Players with 25+ PPG,O Rating,D Rating,Net Rating
DEN,117,27.13,0.35,47.7,4.9,7.4,12.3,26.9,15,0.46,1,4,16,2,119.5,110.8,8.7
BOS,118.9,27.36,0.37,47.7,6.7,6.4,13.1,25.6,14,0.46,2,3,11,1,117.2,113.7,3.5
LAL,118,26.27,0.34,48.4,6.9,7.3,14.2,26.5,15,0.42,2,3,8,0,113.7,111.3,2.4
MIA,134.4,28.60,0.29,48.3,5.2,8.3,13.5,27.1,15,0.42,2,4,13,1,114.1,112.5,1.6
NYK,105.2,25.08,0.26,47.2,4.8,7.2,12,20.4,12,0.38,1,2,6,1,108.9,108.5,0.4
GSW,117.5,26.69,0.31,50.1,4.9,7.5,12.4,29.3,13,0.43,2,2,6,1,111.9,112.1,-0.2
PHI,111.2,27.53,0.25,47.8,5.9,8.1,14,20.1,15,0.40,1,2,7,0,111.2,112.8,-1.6
SAC,118.1,25.31,0.31,49.3,4.2,5.5,9.7,25.1,13,0.42,1,1,3,1,110.7,112.8,-2.1
PHO,130.5,28.93,0.28,47.8,7.1,7.6,14.7,29.4,14,0.44,2,2,6,2,117,119.4,-2.4
MIL,137.5,30.47,0.35,51.7,4.9,7.9,12.8,25.8,15,0.40,2,1,1,0,113.9,118.9,-5
ATL,119.6,25.00,0.45,45,4.3,7.8,12.1,22.5,10,0.48,1,1,2,1,115,120.3,-5.3
CLE,99.2,27.15,0.29,40.5,3.6,7.2,10.8,25.3,13,0.38,2,1,1,0,103.4,109.3,-5.9
LAC,139.8,28.64,0.33,46.1,4.1,7,11.1,22.8,14,0.45,2,1,1,0,117.1,123.6,-6.5
MEM,111.2,23.58,0.27,49,4.8,8,12.8,26.5,12,0.38,1,1,2,1,104,111.4,-7.4
MIN,108.2,26.08,0.26,41.2,4.3,7.7,12,30.3,13,0.36,2,1,1,1,109.7,118.9,-9.2
BRK,101.4,27.07,0.25,38,5.7,8.7,14.4,24.2,14,0.41,0,1,0,0,103.1,115.6,-12.5
